"NDVI","TWI","Insolation","Slope","Elevation"
0.0142021766,3.96433449,18.021026611,5.5548710823,209.5479126
0.0142021766,3.90009832,18.09352684,5.4122257233,209.70452881
0.0142021766,4.13844442,18.25,5.1731987,209.86907959
0.0142021766,4.69659424,18.40647316,4.9171938896,210.02153015
0.028492894,5.49814558,18.479976654,4.7441082001,210.14651489
0.028492894,6.11277103,18.456880569,4.7251710892,210.2104187
0.0142021766,3.81686902,18.085042953,5.5927128792,209.49528503
0.0142021766,3.72568846,18.043792725,5.5067915916,209.67155457
0.0142021766,3.95239758,18.239095688,5.231613636,209.84007263
0.0142021766,4.45480061,18.435127258,4.9133648872,209.99717712
0.028492894,5.2086215,18.413915634,4.8694705963,210.13806152
0.028492894,5.9649353,18.390699387,5.0955739021,210.21568298
0.028492894,6.73378086,18.931669235,4.0575532913,210.52339172
0.0246949736,7.26452112,19.008514404,3.8089764118,210.58544922
0.0246949736,7.58153677,19.086645126,3.5846760273,210.64541626
0.0246949736,7.90728521,19.216453552,3.3271861076,210.70355225
0.0246949736,8.45329094,19.354867935,3.1365194321,210.74983215
0.0246949736,9.14084435,19.37187767,3.249653101,210.77461243
0.0029017632,3.55468845,18.113882065,5.8127074242,208.56422424
0.0029017632,3.55966187,18.031051636,6.0282273293,208.74487305
0.0029017632,3.61056495,18.042627335,5.998945713,208.9315033
0.0029017632,3.71791697,18.246896744,5.5045847893,209.11914062
0.0029017632,3.78730273,18.388864517,5.2562036514,209.26210022
0.0254178159,3.59957886,18.178886414,5.8015999794,209.40213013
0.0254178159,3.49222469,17.991447449,6.0967521667,209.58084106
0.0254178159,3.63335729,18.0782547,5.8490791321,209.75358582
0.0254178159,4.05437136,18.185182571,5.526309967,209.91654968
0.0267862286,4.63659716,18.247728348,5.5002140999,210.06681824
0.0267862286,5.3073535,18.385011673,5.7028307915,210.18563843
0.0267862286,5.83124733,18.553846359,5.4796485901,210.29267883
0.0267862286,6.32266855,18.688869476,4.7678976059,210.40194702
0.0267862286,6.59765244,18.822820663,4.137201786,210.4677124
0.0271272566,6.67047739,18.952161789,3.9051458836,210.52362061
0.0271272566,6.91599131,19.027490616,3.6942176819,210.59963989
0.0271272566,7.25852966,19.209182739,3.3429908752,210.66807556
0.0271272566,7.67060518,19.323854446,3.3594827652,210.72824097
0.0271272566,8.32339096,19.183855057,3.7820851803,210.77212524
0.013717385,9.07390594,19.0123806,4.207265377,210.78923035
0.013717385,9.30892086,19.498422623,2.5829105377,210.87414551
0.0029017632,3.47098708,17.841567993,6.7309522629,208.44749451
0.0029017632,3.46715546,17.973377228,6.7143878937,208.63612366
0.0029017632,3.43766618,17.990095139,6.6530385017,208.82847595
0.0029017632,3.51094937,18.232995987,5.959405899,209.01869202
0.0029017632,3.67230129,18.327356339,5.5193853378,209.13790894
0.0254178159,3.52739859,17.965511322,6.4034924507,209.25369263
0.0254178159,3.37804914,17.730958939,7.0271992683,209.43359375
0.0254178159,3.39504576,17.728775024,6.8493890762,209.60972595
0.0254178159,3.62614274,17.872634888,6.5851974487,209.77770996
0.0267862286,4.05854607,18.197034836,6.3767580986,209.93580627
0.0267862286,4.61403275,18.431814194,6.2006416321,210.08161926
0.0267862286,5.18035269,18.526208878,5.768699646,210.21360779
0.0267862286,5.76907969,18.70091629,4.8354849815,210.32833862
0.0267862286,6.22481203,18.759914398,3.962369442,210.37115479
0.0271272566,6.19599342,18.823190689,4.008146286,210.40344238
0.0271272566,6.1928134,18.843255997,4.3871273994,210.48880005
0.0271272566,6.48555279,18.941616058,4.2584681511,210.57221985
0.0271272566,6.82213974,19.097747803,4.1031661034,210.64790344
0.0271272566,7.20954466,18.947248459,4.4088773727,210.71464539
0.013717385,7.69787931,18.859964371,4.6814837456,210.75999451
0.013717385,8.13240337,18.94833374,4.5017390251,210.79507446
0.013717385,8.43315315,19.160423279,4.0932826996,210.83158875
0.013717385,8.81836796,19.403726578,3.6410808563,210.85420227
0.013717385,8.42665577,19.538663864,3.118909359,210.84893799
0.0029017632,3.43594885,17.602622986,7.7637872696,208.27732849
0.0029017632,3.38835692,17.696180344,7.6870388985,208.47329712
0.0029017632,3.30422425,17.716928482,7.5731244087,208.67098999
0.0029017632,3.39438415,18.089801788,6.778886795,208.86384583
0.0029017632,3.67948604,18.231214523,6.2423410416,208.96400452
0.0254178159,3.62890196,17.914293289,7.1658301353,209.05987549
0.0254178159,3.3332603,17.808000565,7.8765220642,209.24020386
0.0254178159,3.32069564,17.807916641,7.7620615959,209.41851807
0.0254178159,3.36544609,17.906051636,7.5688610077,209.59011841
0.0267862286,3.58362937,18.095262527,7.3160181046,209.75372314
0.0267862286,3.97879362,18.201141357,6.9923987389,209.90744019
0.0267862286,4.45362043,18.344266891,6.5788407326,210.04933167
0.0267862286,4.94068003,18.575050354,5.7203660011,210.17678833
0.0267862286,5.51119709,18.733345032,4.634665966,210.26031494
0.0271272566,5.61636829,18.744373322,4.6308035851,210.27998352
0.0271272566,5.48446608,18.597887039,5.5113549232,210.32347107
0.0271272566,5.69254446,18.587938309,5.7606468201,210.41757202
0.0271272566,6.01692295,18.686151505,5.3891510963,210.50669861
0.0271272566,6.34275579,18.657981873,5.206580162,210.58776855
0.013717385,6.69190264,18.76080513,5.0426874161,210.6590271
0.013717385,7.03071833,18.942619324,4.6117200851,210.71882629
0.013717385,7.31366587,19.068201065,4.1137070656,210.7661438
0.013717385,7.60873079,19.447343826,3.7171692848,210.79875183
0.013717385,7.56591797,19.638696671,3.4671053886,210.7762146
0.0029017632,3.4499352,17.508310318,8.5972213745,208.06568909
0.0029017632,3.36304569,17.504076004,8.4989242554,208.26812744
0.0029017632,3.25569558,17.524909973,8.3614521027,208.47044373
0.0029017632,3.35338593,17.991664886,7.5254573822,208.66558838
0.0029017632,3.73323894,18.229166031,6.9140253067,208.75157166
0.0254178159,3.74910188,18.008335114,7.7932500839,208.83210754
0.0254178159,3.41693139,17.995923996,8.5302991867,209.01174927
0.0254178159,3.36326194,17.995923996,8.4774131775,209.19065857
0.0254178159,3.32555366,17.998004913,8.3615369797,209.3639679
0.0267862286,3.35577393,18.001995087,8.1969966888,209.5308075
0.0267862286,3.50011873,18.008176804,7.9703536034,209.68959045
0.0267862286,3.77979445,18.102664948,7.67451334,209.8384552
0.0267862286,4.12506533,18.215007782,7.1748614311,209.97593689
0.0267862286,4.54786348,18.579662323,6.3674311638,210.09642029
0.0271272566,4.69654942,18.707080841,6.1526217461,210.10446167
0.0271272566,4.68225145,18.352403641,6.8215894699,210.10838318
0.0271272566,4.84562969,18.214744568,7.0854415894,210.21107483
0.0271272566,5.15228033,18.344026566,6.7496256828,210.31187439
0.0271272566,5.49843597,18.480876923,6.3510351181,210.4054718
0.013717385,5.8346982,18.59041214,5.903239727,210.49035645
