NDVI,TWI,Insolation,Slope,Elevation
0.0580255911,9.62901306,18.962608337,8.2138814926,82.646980286
0.0580255911,9.28727531,18.995269775,8.021894455,82.761100769
0.0613173619,9.17158508,18.816560745,9.073302269,82.787353516
0.0580255911,9.2793808,19.006879807,8.0356531143,82.898796082
0.0613173619,8.64427471,18.92036438,8.4819927216,82.908172607
0.0613173619,8.92328835,18.465768814,10.970157623,82.984954834
0.0580255911,9.12078094,19.127088547,8.4051399231,83.014961243
0.0613173619,8.80210304,19.059165955,8.5592727661,83.055763245
0.0613173619,8.03701019,18.619663239,10.274927139,83.122932434
0.0613173619,9.24154282,19.40136528,9.4180297852,83.161209106
0.0613173619,8.56397533,17.840623856,14.295752525,83.286941528
0.0613173619,7.8794198,19.140459061,9.9975395203,83.294914246
0.0616754219,8.87687683,19.665369034,10.621034622,83.303672791
0.0613173619,8.69278908,19.576477051,10.918148041,83.375289917
0.0613173619,7.40701723,17.93195343,13.896370888,83.449729919
0.0616754219,9.00378132,19.402088165,12.426944733,83.490684509
0.0616754219,8.73891449,19.043622971,13.852710724,83.641044617
0.0613173619,6.98236465,18.671470642,13.188412666,83.661865234
0.0613173619,8.02974701,17.058027267,18.813556671,83.693336487
0.0613173619,7.85359716,19.237485886,13.148247719,83.717086792
0.0616754219,8.50911713,18.932146072,14.404421806,83.784576416
0.0616754219,8.50563526,18.675539017,15.518512726,83.882415771
0.0613173619,6.75899172,17.033824921,18.724712372,83.938140869
0.0613173619,6.33349752,17.705266953,17.998455048,84.203788757
0.0613173619,7.16697741,18.406139374,17.008613586,84.228157043
0.0613173619,7.27237844,16.348815918,23.296421051,84.254852295
0.0616754219,7.96041584,18.324548721,17.233865738,84.260421753
0.0616754219,8.29821301,18.194194794,17.940088272,84.32119751
0.0613173619,6.42183733,16.297819138,23.718130112,84.617546082
0.0616754219,7.51897573,17.494073868,21.505529404,84.932159424
0.0613173619,6.53523827,17.437185287,22.066242218,84.935394287
0.0613173619,5.99460173,16.847803116,23.17578125,84.942710876
0.0590725355,7.01142502,15.861757278,26.234916687,85.020393372
0.0616754219,8.02194309,17.414808273,21.958665848,85.026092529
0.0590725355,6.39004564,15.804281235,27.225389481,85.512802124
0.0631407574,6.9161396,16.730091095,25.677480698,85.809013367
0.0631407574,7.81416607,16.571418762,26.411586761,85.845947266
0.0590725355,6.14394522,16.717571259,26.060743332,85.854263306
0.0590725355,5.90103579,16.24315834,27.106487274,85.892417908
0.0590725355,7.06091261,15.623528481,27.338565826,86.011306763
0.0631407574,7.90987873,16.221857071,28.24269104,86.160232544
0.0590725355,6.69517279,15.5691576,27.47082901,86.537940979
0.0631407574,7.32314682,16.108722687,28.946218491,86.735450745
0.0631407574,6.42937469,16.213481903,28.499183655,86.814277649
0.0631407574,7.94878817,16.078176498,29.201976776,86.831588745
0.0590725355,5.96009827,16.344146729,27.935947418,86.894081116
0.0590725355,6.02261257,15.996827126,27.438924789,86.944000244
0.0590725355,7.0199213,15.653635979,27.554346085,87.135147095
0.0590725355,7.09145927,15.577065468,27.208444595,87.357818604
0.0631407574,7.69767714,16.380901337,28.139625549,87.773452759
0.0631407574,6.92758465,16.215419769,28.788883209,87.828544617
0.0590725355,6.32814932,15.870515823,27.351696014,87.831535339
0.0631407574,6.20547533,16.065629959,29.546354294,87.944847107
