"TWI","3S91320Inso","3S91320NDVI","T43SDEM","T43SSlope"
9.62901306,11.962609291,0.3599214554,82.646980286,8.2138814926
9.28727531,11.994973183,0.3599214554,82.761100769,8.021894455
9.2793808,11.992027283,0.3599214554,82.898796082,8.0356531143
9.12078094,11.91230011,0.3599214554,83.014961243,8.4051399231
9.17158508,11.834321976,0.3599214554,82.787353516,9.073302269
8.64427471,11.917052269,0.3599214554,82.908172607,8.4819927216
8.80210304,11.893019676,0.3599214554,83.055763245,8.5592727661
9.24154282,11.701236725,0.3599214554,83.161209106,9.4180297852
8.87687683,11.455366135,0.3604066074,83.303672791,10.621034622
8.92328835,11.587901115,0.3599214554,82.984954834,10.970157623
8.03701019,11.655733109,0.3599214554,83.122932434,10.274927139
7.8794198,11.625290871,0.3599214554,83.294914246,9.9975395203
8.69278908,11.392943382,0.3599214554,83.375289917,10.918148041
9.00378132,11.152628899,0.3604066074,83.490684509,12.426944733
8.73891449,10.970740318,0.3604066074,83.641044617,13.852710724
8.56397533,11.203536987,0.3599214554,83.286941528,14.295752525
7.40701723,11.214849472,0.3599214554,83.449729919,13.896370888
6.98236465,11.086120605,0.3599214554,83.661865234,13.188412666
7.85359716,10.963942528,0.3599214554,83.717086792,13.148247719
8.50911713,10.848660469,0.3604066074,83.784576416,14.404421806
8.50563526,10.688052177,0.3604066074,83.882415771,15.518512726
8.02974701,10.742877007,0.3537075222,83.693336487,18.813556671
6.75899172,10.716048241,0.3537075222,83.938140869,18.724712372
6.33349752,10.481638908,0.3537075222,84.203788757,17.998455048
7.16697741,10.345762253,0.3537075222,84.228157043,17.008613586
7.96041584,10.372256279,0.3536184728,84.260421753,17.233865738
8.29821301,10.298354149,0.3536184728,84.32119751,17.940088272
7.27237844,10.36498642,0.3537075222,84.254852295,23.296421051
6.42183733,10.273548126,0.3537075222,84.617546082,23.718130112
5.99460173,9.9826631546,0.3537075222,84.942710876,23.17578125
6.53523827,9.7394962311,0.3537075222,84.935394287,22.066242218
7.51897573,9.764342308,0.3536184728,84.932159424,21.505529404
8.02194309,9.7508039474,0.3536184728,85.026092529,21.958665848
7.01142502,9.9094591141,0.3537075222,85.020393372,26.234916687
6.39004564,10.035407066,0.3537075222,85.512802124,27.225389481
5.90103579,9.6379966736,0.3537075222,85.892417908,27.106487274
6.14394522,9.2623214722,0.3537075222,85.854263306,26.060743332
6.9161396,9.269449234,0.3536184728,85.809013367,25.677480698
7.81416607,9.2525482178,0.3536184728,85.845947266,26.411586761
7.90987873,9.1110649109,0.3536184728,86.160232544,28.24269104
7.06091261,8.4856128693,0.3537075222,86.011306763,27.338565826
6.69517279,9.317481041,0.3537075222,86.537940979,27.47082901
6.02261257,9.6264696121,0.3537075222,86.944000244,27.438924789
5.96009827,9.1657943726,0.3537075222,86.894081116,27.935947418
6.42937469,9.040137291,0.3536184728,86.814277649,28.499183655
7.32314682,9.0348501205,0.3536184728,86.735450745,28.946218491
7.94878817,9.0204734802,0.3536184728,86.831588745,29.201976776
7.0199213,6.1621308327,0.3537075222,87.135147095,27.554346085
7.09145927,6.0362353325,0.3537075222,87.357818604,27.208444595
6.32814932,7.8181300163,0.3537075222,87.831535339,27.351696014
5.83409071,9.3074522018,0.3537075222,88.038002014,28.84208107
6.20547533,9.0320701599,0.3536184728,87.944847107,29.546354294
6.92758465,9.0541143417,0.3536184728,87.828544617,28.788883209
7.69767714,9.0952348709,0.3536184728,87.773452759,28.139625549
6.79966164,4.7940692902,0.3360243738,88.316200256,26.732723236
7.02617407,3.4229512215,0.3360243738,88.296485901,27.95117569
6.49962425,6.0716323853,0.3360243738,88.773605347,27.943172455
5.98430729,9.4922456741,0.3360243738,89.18409729,26.548677444
6.31878662,9.3013706207,0.3353255391,89.07661438,25.787370682
6.90421009,9.2478046417,0.3353255391,88.935272217,25.962898254
7.74645233,9.2240934372,0.3353255391,88.802970886,26.154644012
6.83890533,5.795296669,0.3360243738,89.478591919,23.547620773
7.00067663,5.5427117348,0.3360243738,89.481018066,24.642663956
6.81556082,7.9263730049,0.3360243738,89.756141663,23.129226685
6.55470037,10.182943344,0.3360243738,89.991195679,19.567604065
6.83754349,9.8731822968,0.3353255391,89.861335754,19.305612564
7.22899723,9.5492248535,0.3353255391,89.704696655,22.009376526
8.07147121,9.3764266968,0.3353255391,89.519309998,23.836788177
7.04000139,8.2285146713,0.3360243738,90.349197388,18.179779053
7.31865931,8.8274974823,0.3360243738,90.320884705,17.577342987
7.35531664,10.213465691,0.3360243738,90.405433655,15.417021751
7.26137447,10.989141464,0.3360243738,90.470169067,13.538888931
7.46029472,10.518592834,0.3353255391,90.321929932,14.833713531
7.79112577,9.9837408066,0.3353255391,90.126045227,18.131950378
8.44203377,9.6114788055,0.3353255391,89.890411377,21.167467117
7.25269222,10.283502579,0.3360243738,90.948646545,12.913883209
7.66581392,10.452750206,0.3360243738,90.83291626,12.139348984
7.80685949,11.011157036,0.3360243738,90.83102417,10.728359222
7.800179,11.426636696,0.3360243738,90.822494507,10.224730492
7.99615765,11.147911072,0.3353255391,90.668907166,11.413928032
8.25362587,10.58264637,0.3353255391,90.440078735,14.094639778
7.27430964,11.692848206,0.3360243738,91.65297699,10.160203934
7.3082037,11.405885696,0.3360243738,91.413406372,9.9774532318
7.8492465,11.276333809,0.3360243738,91.218139648,9.3667907715
8.20191002,11.512717247,0.3360243738,91.151908875,8.356926918
8.3414917,11.721905708,0.3360243738,91.092063904,7.9499773979
8.5761919,11.615813255,0.3353255391,90.964553833,8.7168331146
7.5386281,11.649907112,0.3348171711,91.950614929,10.396012306
7.40128183,11.749961853,0.3348171711,91.748939514,9.6871910095
7.99107361,11.767511368,0.3348171711,91.511825562,8.4193544388
8.55911922,11.803718567,0.3348171711,91.395027161,7.473587513
8.7110939,11.865208626,0.3348171711,91.295806885,7.2206788063
9.09721947,11.861134529,0.3244485259,91.178085327,7.2610430717
7.18639612,11.378155708,0.3668945134,92.540763855,11.546115875
7.37399864,11.345373154,0.3348171711,92.238006592,11.269115448
7.50085163,11.452832222,0.3348171711,91.992660522,10.797570229
8.06312656,11.599489212,0.3348171711,91.737770081,9.4175834656
8.69812584,11.734408379,0.3348171711,91.585319519,8.1607027054
8.75074577,11.804100037,0.3348171711,91.49067688,7.6809802055
8.98181438,11.895036697,0.3244485259,91.343200684,7.1508574486
7.31461763,12.320263863,0.3668945134,93.286552429,10.377179146
7.18270254,11.864989281,0.3668945134,92.952903748,11.037599564
7.25731802,11.40031147,0.3348171711,92.616325378,11.577026367
7.44911718,11.276543617,0.3348171711,92.314338684,11.59367466
8.00624561,11.446531296,0.3348171711,92.034851074,10.697333336
8.62889957,11.598937988,0.3348171711,91.846855164,9.3967046738
8.78854084,11.655273438,0.3348171711,91.733322144,8.6265001297
7.71619654,12.413526535,0.3668945134,93.791427612,10.177955627
7.62724352,12.482303619,0.3668945134,93.539115906,10.150870323
7.57192659,12.361623764,0.3668945134,93.242912292,10.304087639
7.65286207,12.039731026,0.3348171711,92.920402527,10.743906975
7.83768463,11.923149109,0.3348171711,92.601768494,10.761766434
8.32907009,11.92553997,0.3348171711,92.302871704,10.492606163
8.87308502,11.78455925,0.3348171711,92.107620239,10.067290306
8.97871113,11.651892662,0.3348171711,91.961982727,9.4379281998
7.88823223,12.060023308,0.3668945134,94.248146057,10.169670105
7.89673567,12.213840485,0.3668945134,94.004768372,10.2194767
7.94391203,12.397299767,0.3668945134,93.715553284,10.209172249
8.07305908,12.478861809,0.3668945134,93.392730713,10.174396515
8.2150116,12.475795746,0.3348171711,93.064369202,10.098631859
8.42659473,12.473771095,0.3348171711,92.740486145,9.8694238663
8.88581181,12.369153976,0.3348171711,92.438774109,9.8553419113
9.23592854,12.174551964,0.3348171711,92.259231567,9.9671869278
8.04374027,12,0.3895484805,94.692863464,9.9450082779
8.1084671,12.003388405,0.3895484805,94.45880127,10.119600296
8.15426922,12.045915604,0.3895484805,94.183853149,10.226031303
8.2407198,12.149589539,0.3895484805,93.869796753,10.327576637
8.32648659,12.224580765,0.3895484805,93.54132843,10.443579674
8.45587444,12.316848755,0.3536133468,93.208206177,10.349866867
8.67265511,12.444292068,0.3536133468,92.883224487,10.079145432
8.84460068,12.488903999,0.3536133468,92.602157593,9.8010168076
8.85196972,12.437508583,0.3536133468,92.402389526,9.7002916336
8.31453514,12,0.4145769775,95.100036621,9.6005687714
8.3072691,12,0.3895484805,94.902664185,9.7562417984
8.31295776,11.999960899,0.3895484805,94.649002075,9.9836206436
8.32874966,11.993835449,0.3895484805,94.359642029,10.263478279
8.31263447,11.876281738,0.3895484805,94.049240112,10.639525414
8.34271908,11.838989258,0.3895484805,93.723526001,10.81735611
8.47289848,12.032139778,0.3536133468,93.389854431,10.667777061
8.53914833,12.260346413,0.3536133468,93.081565857,10.392337799
8.37390137,12.429304123,0.3536133468,92.819007874,10.081059456
8.68944359,12,0.4145769775,95.275184631,9.3075685501
8.48169231,12,0.3895484805,95.105072021,9.575553894
8.38162231,11.998209953,0.3895484805,94.851249695,9.83111763
8.33157253,11.950744629,0.3895484805,94.57183075,10.311333656
8.31386948,11.778525352,0.3895484805,94.270843506,10.809913635
8.36859894,11.660775185,0.3895484805,93.953620911,11.005970001
8.33443165,11.774986267,0.3536133468,93.636528015,10.915345192
8.08054733,12.003228188,0.3536133468,93.34098053,10.701379776
8.67181396,11.843570709,0.4145769775,95.563774109,7.8975439072
8.88384819,11.987586975,0.4145769775,95.463035583,8.5260543823
8.5211935,11.996454239,0.3895484805,95.325485229,8.9716892242
