NDVI,TWI,Insolation,Slope,Elevation
0.0012145264,6.57923746,24,9.0617837906,208.93833923
0.0012145264,6.5725565,24,9.4843950272,208.72853088
0.0012145264,6.60668659,24,10.021412849,208.50881958
0.0012145264,6.66215229,24,10.639686584,208.27482605
0.0012145264,6.71015263,24,11.308256149,208.02445984
0.0115791941,2.47222161,15.795300484,16.652339935,240.02514648
0.0115791941,2.46706009,16.142313004,15.148278236,240.57510376
0.0115791941,2.55877948,16.637617111,13.004828453,241.00244141
0.0115791941,2.4028964,16.925848007,12.587985039,241.38679504
0.0115791941,2.19912505,17.373737335,12.175498962,241.80862427
0.0012145264,6.76855946,24,8.0379266739,209.13725281
0.0012145264,6.8241539,24,8.3686447144,208.93832397
0.0012145264,6.90282154,24,8.8156738281,208.73049927
0.0012145264,6.96352625,24,9.3446550369,208.50906372
0.0012145264,6.99977541,24,9.9161348343,208.27178955
0.0115791941,2.45649004,15.845740318,17.62231636,239.76112366
0.0115791941,2.41703057,16.110141754,16.532991409,240.32304382
0.0115791941,2.43980622,16.742679596,13.900307655,240.81292725
0.0115791941,2.40893245,17.26307106,12.643213272,241.17417908
0.0115791941,2.22651076,17.272890091,13.185684204,241.527771
0.0012145264,6.80398941,24,7.9520072937,209.34184265
0.0012145264,6.92986059,24,8.2475404739,209.15280151
0.0012145264,7.02866745,24,8.6604852676,208.95597839
0.0012145264,7.06703949,24,9.1626367569,208.74633789
0.0012145264,7.07764292,24,9.7046709061,208.52090454
0.0115791941,2.43504024,15.632288933,18.541349411,239.42575073
0.0115791941,2.29648876,15.894108772,18.183509827,239.9936676
0.0115791941,2.26068449,16.744258881,15.727293015,240.54130554
0.0115791941,2.39847231,17.453207016,13.732031822,240.87713623
0.0115791941,2.28685498,17.256019592,14.593093872,241.15852356
0.0012145264,6.91450691,24,7.8154296875,209.55032349
0.0012145264,7.07313061,24,8.0818414688,209.3704071
0.0012145264,7.15200567,24,8.4635124207,209.18389893
0.0012145264,7.14125633,24,8.9467306137,208.98545837
0.0012145264,7.11773109,24,9.4666795731,208.77108765
0.0115791941,2.37071705,15.795003891,19.470542908,239.02688599
0.0115791941,2.19206214,15.927424431,19.580120087,239.59172058
0.0115791941,2.20032263,16.736225128,17.502563477,240.14216614
0.0115791941,2.4209466,17.425819397,15.468911171,240.44967651
0.0115791941,2.37277913,17.095222473,16.468105316,240.70428467
0.0012145264,7.08602428,24,7.5863556862,209.7575531
0.0012145264,7.22974586,24,7.8303728104,209.58630371
0.0012145264,7.25188208,24,8.1834354401,209.4095459
0.0012145264,7.17961168,24,8.6467876434,209.22218323
0.0012145264,7.12590218,24,9.1499109268,209.01980591
0.0115791941,2.15300035,15.994402885,22.438867569,238.55470276
0.0115791941,1.98377872,16.013597488,22.911664963,239.10784912
0.0115791941,1.99910259,16.582983017,21.501247406,239.6524353
0.0115791941,2.25870609,17.019992828,20.014862061,239.92883301
0.0115791941,2.26011896,16.591630936,20.956073761,240.15757751
0.0307050478,3.82746553,17.049850464,14.921362877,223.24113464
0.0307050478,3.67713451,16.944898605,15.145664215,223.70274353
0.0307050478,3.81953883,17.642469406,12.369569778,224.13891602
0.0307050478,4.14817953,18.259576797,9.8330221176,224.41291809
0.0307050478,4.28499365,18.40240097,9.0084018707,224.66307068
0.0611081719,4.40075397,18.642097473,8.2452449799,224.89709473
0.0611081719,4.5858717,18.782632828,7.4680490494,225.11437988
0.0611081719,4.74503088,18.89682579,6.6930799484,225.31459045
0.0611081719,4.93520164,19.146915436,5.9351501465,225.49737549
0.0611081719,5.13731766,19.399372101,5.2278599739,225.66244507
0.0069167516,5.29748726,19.513677597,4.7953500748,225.81228638
0.0069167516,5.48741102,19.654212952,4.3850021362,225.96421814
0.0069167516,5.76965523,19.862997055,3.6781589985,226.1003418
0.0069167516,5.94418192,19.263376236,3.236426115,226.21263123
0.0069167516,5.87715435,18.435049057,3.4287526608,226.32829285
0.0307050478,4.19830847,17.361822128,12.020415306,223.54806519
0.0307050478,4.08001852,17.295120239,12.348711014,223.95721436
0.0307050478,4.2091732,17.880884171,10.090733528,224.34063721
0.0307050478,4.51874638,18.466573715,7.9696164131,224.59817505
0.0307050478,4.66362286,18.635345459,7.2762560844,224.8314209
0.0611081719,4.78246975,18.867208481,6.6560106277,225.04663086
0.0611081719,5.17071104,18.981819153,6.040977478,225.24420166
0.0611081719,5.32450819,19.021232605,5.4433693886,225.42430115
0.0611081719,5.49879503,19.390190125,4.8680815697,225.58786011
0.0611081719,5.68491125,19.757677078,4.3303275108,225.73492432
0.0069167516,5.83500481,19.76326561,4.0195665359,225.86686707
0.0069167516,5.99593496,19.844421387,3.7640924454,225.99736023
0.0069167516,6.22790956,20.052755356,3.3017075062,226.11595154
0.0069167516,6.50012159,19.497261047,2.8605692387,226.21708679
0.0069167516,6.54306555,18.66003418,2.8930668831,226.2966156
0.0307050478,4.85288191,17.106864929,10.119884491,223.61784363
0.0307050478,4.78552485,17.247825623,10.492609978,223.99465942
0.0307050478,4.97563362,17.857803345,8.8081169128,224.34889221
0.0307050478,5.25352192,18.355154037,7.0953788757,224.60832214
0.0307050478,5.40791082,18.59954834,6.4226961136,224.84179688
0.0611081719,5.55208731,18.722391129,5.8397321701,225.05386353
0.0611081719,5.68603277,18.879999161,5.3014116287,225.24629211
0.0611081719,5.84128475,19.154201508,4.8056397438,225.42060852
0.0611081719,6.0062623,19.49684906,4.3420772552,225.57818604
0.0611081719,6.17505932,19.808454514,3.9099917412,225.71965027
0.0069167516,6.3015542,19.544151306,3.6671664715,225.84620667
0.0069167516,6.41310358,19.168827057,3.4887816906,225.96966553
